,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,1,0.0,0.7397347429326473,0.7649818994782188,9.822949778026668e-07,1.945634721778333e-06,9.633397439756664e-07,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,2,0.0,0.7311870419342099,0.7586821366440166,9.443343742532306e-07,2.3263380626303842e-06,1.3820036883771536e-06,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,3,0.0,0.7331452069391731,0.677893809296868,1.195744857795944e-06,1.2568929150802433e-06,6.114800754630778e-08,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,4,0.0,0.7254707399215407,0.7655742330984635,3.2797970561659895e-08,2.423279283902957e-06,2.390481313341297e-06,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,5,0.0,0.7259819885246627,0.6911674217744306,5.230646706877451e-07,5.339094855116855e-07,1.0844838804757728e-08,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,6,0.0,0.7211838965197556,0.7305777891115708,1.0947346709144767e-06,2.2777057893108577e-06,1.182971118396381e-06,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,7,0.0,0.7164923789846989,0.7244204504923386,6.464422313001705e-07,1.920280510603334e-06,1.2738382793031633e-06,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,8,0.0,0.7163668129280323,0.6874080213633451,1.375652800561511e-06,1.3848604112354224e-06,9.207600015770367e-09,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,9,0.0,0.7145035626324079,0.7055101400071925,1.5993560964489006e-06,1.861068426478596e-06,2.6171230160798586e-07,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,10,0.0,0.7093611628044653,0.7208596283739264,5.67060851608403e-08,2.0217917153786402e-06,1.9650856302178e-06,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,11,0.0,0.7041525108213643,0.7142411416227168,2.1468167687999085e-08,2.3459513158741174e-06,2.3244831481861183e-06,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,1e-05,12,0.02929206145132745,0.7005703494748996,0.7001082127744501,7.918451956356876e-07,1.8788883835441084e-06,1.0870431879084208e-06,22
