,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,1,0.0,0.6790052757008385,0.7649818994782188,9.822949778026668e-07,1.945634721778333e-06,9.633397439756664e-07,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,2,0.0,0.6305958291956486,0.6517665640874343,9.297228302784788e-07,1.6653881402817206e-06,7.356653100032418e-07,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,3,0.0,0.6345273906948002,0.8287051520564338,4.305694801587379e-06,5.934519776928937e-06,1.6288250890283962e-06,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,4,0.0,0.6270819442872783,0.5175542452118613,3.7306676858861465e-08,9.796546009965823e-07,9.423479241377208e-07,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,5,0.0,0.6268766322208725,0.7611811372366819,7.311920739994093e-07,1.2010808632112457e-06,4.698887892118364e-07,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,6,0.0,0.6219824395561946,0.5616729717363012,1.0564754120423459e-06,1.2835689631174318e-06,2.2709357949679543e-07,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,7,0.0,0.6167215352295009,0.5308660791678863,8.907067012842163e-07,1.191502974506875e-06,3.007962732226588e-07,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,8,0.0,0.6212248854509747,0.7721332715316251,2.364464307902381e-06,3.0762159894948127e-06,7.117517384358507e-07,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,9,0.0,0.6224866636836802,0.6572573924606496,1.707929868643987e-06,1.7285155990975909e-06,2.0585748217172295e-08,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,10,0.0,0.6183922927798206,0.48188533132726497,7.975683047334314e-08,7.852685826037487e-07,7.055117521304055e-07,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,11,0.0,0.6180046776323828,0.419581072438847,2.0767629393958487e-08,8.11540417089418e-07,7.907727876954596e-07,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,12,0.0,0.6222928186864344,0.5132686940106479,7.214658239718119e-07,8.161000550899189e-07,9.463422401267962e-08,22
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,13,0.0,0.6256766280600132,0.6604859013449061,1.6696476450306363e-06,1.747030751175771e-06,7.738309193427995e-08,22
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,14,0.0,0.6250986108798107,0.7480481998486953,2.0722454792121425e-06,2.3988714019651525e-06,3.2662583748788165e-07,22
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,15,0.0,0.6207510137375984,0.9859698282046752,8.791470236246823e-07,2.3004085960565135e-06,1.4212615724318312e-06,22
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,16,0.0,0.6184549229290649,0.7325106005777011,1.0842194342330913e-06,1.2938986628796556e-06,2.096792286465643e-07,22
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,1e-05,17,0.0,0.6185729303432785,0.7324999752369793,1.0323508377041435e-06,1.210662162520748e-06,1.7831136744916876e-07,22
