,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,1,0.4946000366099213,0.7037212791938559,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,2,0.4946000366099213,0.7023604647481424,0.7075930332498892,7.712616024946328e-06,8.544455340597779e-06,8.318395430251257e-07,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,3,0.4946000366099213,0.7007889916048566,0.6987756543925829,7.586278570670402e-06,8.0204472396872e-06,4.341688111253461e-07,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,4,0.4946000366099213,0.6994401448642178,0.6876202864306313,6.462380952143576e-06,6.531397502840264e-06,6.901664306724342e-08,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,5,0.4946000366099213,0.6979945951290046,0.7083389045936721,6.430890152842039e-06,7.542171715613222e-06,1.1112816764580202e-06,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,6,0.4946000366099213,0.6965857081846123,0.7096078073339804,6.756500170013169e-06,8.620588232588489e-06,1.864087948888482e-06,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,7,0.4946000366099213,0.6957461648071144,0.677738839920078,6.215908342710463e-06,6.564755949511891e-06,3.488474078494619e-07,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,8,0.4946000366099213,0.6955678754460236,0.6679376536181996,3.4160718769271625e-06,6.012056019244483e-06,2.5959841423173202e-06,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,9,0.4946000366099213,0.6953197458478053,0.6929625374930246,7.496871603507316e-06,7.735885446891189e-06,2.3901364443190687e-07,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,10,0.4946000366099213,0.6953320653337336,0.6763789891132287,5.897892151551787e-06,7.0563278313784394e-06,1.158435907200328e-06,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,11,0.4946000366099213,0.6951387234872117,0.7030962104243892,5.1212741709605325e-06,6.435082013922511e-06,1.3138077292751404e-06,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,12,0.4946000366099213,0.6949456612501801,0.6895517046962465,6.895529622852337e-06,6.93951005814597e-06,4.3980630692885825e-08,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,13,0.4946000366099213,0.6946328579943142,0.6973540118762425,7.048626684991177e-06,7.92594346421538e-06,8.773166086939455e-07,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,14,0.4946000366099213,0.6943370360406566,0.6899130836129189,5.524260814127047e-06,5.563680133491289e-06,3.941954318520402e-08,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,15,0.4946000366099213,0.6940458682236176,0.6919962242245674,4.65438006358454e-06,4.749693289340939e-06,9.531329681067291e-08,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,16,0.4946000366099213,0.693733964273556,0.6925423478441578,6.139935521787265e-06,6.3132606555882376e-06,1.733252759095194e-07,56
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,17,0.4946000366099213,0.693512755204783,0.6830936046583311,7.692216058785561e-06,7.83143059379654e-06,1.3921433605901257e-07,56
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,18,0.4946000366099213,0.6932626050701951,0.6903759408210005,7.32299577066442e-06,7.568850833195029e-06,2.45855204639156e-07,56
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,1e-05,19,0.4946000366099213,0.6931221682365607,0.6852220854588917,4.082969098817557e-06,4.582142992148874e-06,4.991740638615738e-07,56
