,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,1,0.4908256880733945,0.722159957120178,0.6700091351162303,1.5155747860262636e-05,1.5225307834043633e-05,6.955972509103958e-08,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,2,0.4908256880733945,0.6976196973695667,0.7590051397003912,2.2897544113220647e-05,3.204479435225949e-05,9.147251148533542e-06,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,3,0.4908256880733945,0.6911415151499827,0.6772166815671052,1.4269532584876288e-05,1.4337210814119317e-05,6.767798765849875e-08,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,4,0.5091743119266054,0.6888301760778515,0.6861981734633446,1.5051222362671979e-05,1.5081702258612495e-05,3.0479682777695416e-08,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,5,0.5114678899082569,0.6863730527939053,0.6838366377082739,2.3034584955894388e-05,2.3646918634767644e-05,6.123338494035124e-07,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,6,0.5091743119266054,0.6853348098763632,0.6586743971840903,1.0000697329815011e-05,1.9838931621052325e-05,9.838234291237313e-06,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,7,0.5091743119266054,0.681642752721769,0.6849342175166716,1.1823706699942704e-05,1.2352077646937687e-05,5.283708333081449e-07,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,8,0.5091743119266054,0.6657141594711794,0.6928658153184435,1.2812859495170414e-05,1.5071258530952036e-05,2.2583988084079465e-06,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,9,0.5091743119266054,0.6292782893421454,0.6216070391576399,1.5170089682214893e-05,1.706050352368038e-05,1.8904136140918126e-06,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,10,0.6272935779816514,0.5645495409812402,0.5898772563785315,2.334480632271152e-05,2.4891773136914708e-05,1.5469672689505387e-06,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,11,0.7912844036697247,0.47379794689493443,0.446917965364727,2.944010338978842e-05,3.6897465179208666e-05,7.457362698914949e-06,88
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,12,0.856651376146789,0.3736389575338145,0.4676772039129653,4.667788016377017e-05,6.611306162085384e-05,1.9435181457083672e-05,88
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,13,0.5493119266055045,1.733350782185246,0.2860466194000434,0.00011279079626547173,0.0001707459450699389,5.795514880446717e-05,88
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,14,0.8600917431192661,0.34885103180320987,0.7698266429868948,0.00033064428134821355,0.0007978162029758096,0.000467171921627596,88
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,15,0.5389908256880734,1.180415864999688,0.30433643935248256,9.69617540249601e-05,0.00012681323278229684,2.9851482395315543e-05,88
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,16,0.8497706422018348,0.4285000112898853,0.7661972147052769,0.00017473619664087892,0.0008883419795893133,0.0007136057829484344,88
