,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,1,0.4908256880733945,0.7045435435181364,0.6700091351162303,1.5155747860262636e-05,1.5225307834043633e-05,6.955972509103958e-08,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,2,0.4908256880733945,0.7027599450645097,0.7200354340401562,2.021493492065929e-05,2.5029052267200314e-05,4.8141182560357265e-06,88
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,3,0.4908256880733945,0.7014773947383286,0.6772525384344839,1.4296203517005779e-05,1.4304207979876082e-05,8.004345630752141e-09,88
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,4,0.4908256880733945,0.7002181875596353,0.6899366365914995,1.53810342453653e-05,1.575150054122787e-05,3.704661821757327e-07,88
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,5,0.4908256880733945,0.6991622480777425,0.6765197128734804,2.3755083020660095e-05,2.379220495640766e-05,3.7122632079444884e-08,88
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,6,0.4908256880733945,0.6977891626708005,0.7380348913371562,1.0360459782532416e-05,2.644027154019568e-05,1.6079811757663265e-05,88
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,7,0.4908256880733945,0.6966033102175512,0.691355358606035,1.155580048362026e-05,1.191257979371585e-05,3.5677942378242733e-07,88
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,8,0.4908256880733945,0.6956412885167184,0.6854513910683718,1.1666868886095472e-05,1.1681070645863656e-05,1.4201731346474844e-08,88
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,9,0.4908256880733945,0.6946596825888397,0.7006401480598884,1.381539368594531e-05,1.841974699345883e-05,4.604353762260871e-06,88
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,10,0.4908256880733945,0.6937764680713688,0.6928008889610118,1.6951180441537872e-05,1.9129247448290698e-05,2.1780676888738526e-06,88
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,11,0.4908256880733945,0.6929992360806246,0.6957787297666074,9.368929568154272e-06,1.5640949641237967e-05,6.272020073083695e-06,88
11,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,12,0.4988532110091743,0.692571880620554,0.6850694865665653,1.091651211027056e-05,1.4432774150918704e-05,3.516261585900793e-06,88
12,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,13,0.5756880733944955,0.692217376800852,0.6791607255962762,2.3524946300312877e-05,2.4188104362110607e-05,6.631577207372175e-07,88
13,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,14,0.5160550458715596,0.6919437384386675,0.6817491056566889,1.5921525118756108e-05,1.6989533833111636e-05,1.0680093964765547e-06,88
14,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,15,0.5091743119266054,0.6917615281332523,0.6858173001896251,1.7331603885395452e-05,1.753416108840611e-05,2.0255659194390319e-07,88
15,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,16,0.5091743119266054,0.6916600629824017,0.6722448214888572,1.66191875905497e-05,1.945185795193538e-05,2.8326703613856807e-06,88
16,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,17,0.5091743119266054,0.6916243001955364,0.6855542024428194,1.537638127047103e-05,1.5411058484460227e-05,3.467684450697561e-08,88
17,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,18,0.5091743119266054,0.6916340562181735,0.6824944721704179,1.6968861018540338e-05,1.7052321709343232e-05,8.345988078417577e-08,88
18,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,19,0.5091743119266054,0.6915912201645178,0.6914538675411179,1.553535730636213e-05,1.627433084649965e-05,7.389733696072653e-07,88
19,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,20,0.5091743119266054,0.6915212552481835,0.6800404598089781,2.1325817215256393e-05,2.1355319404392503e-05,2.9501297404976867e-08,88
20,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,21,0.5091743119266054,0.6913375345938796,0.6914098709144376,1.877126305771526e-05,1.9602048269007355e-05,8.307850976052578e-07,88
21,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,22,0.5091743119266054,0.6911176896970207,0.681344811618328,1.586166035849601e-05,1.5887919289525598e-05,2.62595314381997e-08,88
22,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,23,0.5091743119266054,0.6907119641610242,0.7022651543671434,1.536125455459114e-05,1.8434462617733516e-05,3.0732078357686987e-06,88
23,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,24,0.5091743119266054,0.690168810546945,0.7026391517032277,1.8408125470159575e-05,2.3418868295266293e-05,5.010742370359367e-06,88
24,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,25,0.5091743119266054,0.6897013909226164,0.6684711278839545,2.0170440620859154e-05,2.086974200210534e-05,6.993011538725113e-07,88
25,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,26,0.5091743119266054,0.6892831757527973,0.6695632750337774,1.2011952094326261e-05,1.3516298167814966e-05,1.5043463008623803e-06,88
26,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,27,0.5091743119266054,0.6888284918365128,0.6813221351666885,1.0870213372982107e-05,1.0894514161918778e-05,2.4300771173102476e-08,88
27,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,28,0.5091743119266054,0.688431468031822,0.6572802786799994,1.5051419723022263e-05,1.9907927708118223e-05,4.856507985095959e-06,88
28,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,29,0.5091743119266054,0.6879188741019012,0.6853300231424246,2.0459552615648136e-05,2.1417747120722197e-05,9.58194732447737e-07,88
29,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,30,0.5091743119266054,0.6874605756287181,0.6571728340604088,8.345259630004875e-06,1.407576201017946e-05,5.730501925427234e-06,88
30,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,31,0.5091743119266054,0.6870010697513546,0.6611248172142289,1.8845157683244906e-05,2.0483510525082238e-05,1.638353523958358e-06,88
31,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,32,0.5091743119266054,0.6864457912401322,0.6752321851524441,1.627600249776151e-05,1.635009903111495e-05,7.409723679074887e-08,88
32,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,33,0.5091743119266054,0.6858166653081912,0.6666061388498002,1.6809304725029506e-05,1.730570147628896e-05,4.963970923199668e-07,88
33,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,34,0.5091743119266054,0.6850239536084166,0.6664158008315347,2.496152046660427e-05,2.5079463739530183e-05,1.1794244869633985e-07,88
34,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,35,0.5091743119266054,0.6840704072506056,0.662494831904769,1.5182797142188065e-05,1.5609237379976548e-05,4.264404083187401e-07,88
35,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,36,0.5091743119266054,0.6825062391954825,0.6903759590942752,1.7599319107830524e-05,1.982741741812788e-05,2.2280980829236796e-06,88
36,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,37,0.5091743119266054,0.6804443570451999,0.6621493206105449,1.8302846001461148e-05,1.855549453466665e-05,2.526487890008866e-07,88
37,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,38,0.5091743119266054,0.6773758005658421,0.6972438956864855,2.2257358068600297e-05,2.7588615921558812e-05,5.331257398211164e-06,88
38,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,39,0.5091743119266054,0.6733438613217905,0.6641030145639724,1.99375663214596e-05,2.0399214918143116e-05,4.6164808509274735e-07,88
39,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,40,0.5103211009174312,0.6677882611204725,0.6458247380161828,2.500994196452666e-05,2.5851646569208242e-05,8.417047752118378e-07,88
40,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,41,0.5309633027522935,0.6605544123080892,0.6868568681519139,1.7488422599853948e-05,2.436645263514947e-05,6.878029125800822e-06,88
41,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,42,0.6754587155963303,0.6509088146577188,0.6482218074866317,2.4788498194538988e-05,2.5954737793654203e-05,1.1662402812362416e-06,88
42,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,43,0.8073394495412844,0.6383702547178356,0.6351711812683127,3.628584090620279e-05,3.823439692496322e-05,1.948555564013077e-06,88
43,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,44,0.8543577981651376,0.619467926134757,0.6214791222390803,2.9015580366831273e-05,3.217681296519004e-05,3.1612328257324407e-06,88
44,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,45,0.8577981651376146,0.5878071850592937,0.5810152843933214,6.582769856322557e-05,7.223358261398971e-05,6.405881777027389e-06,88
45,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,46,0.8646788990825688,0.5404353283960884,0.5754417661916126,2.9972652555443347e-05,3.7018402508692816e-05,7.0457494985021185e-06,88
46,roberta-base,glue,sst2,2,100,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,47,0.856651376146789,0.4885348073386271,0.5078833042220635,5.9611611504806206e-05,7.264810119522735e-05,1.3036490599915851e-05,88
